state,x,y
andhra pradesh,-73,-156
arunachal pradesh,220,106
assam,193,60
bihar,58,49
chhattisgarh,9,-6
goa,-152,-152
gujarat,-200,-6
haryana,-108,116
himachal pradesh,-95,178
jharkhand,51,9
karnataka,-118,-168
kerala,-108,-252
madhya pradesh,-54,3
maharashtra,-129,-70
manipur,208,23
meghalaya,170,46
mizoram,188,6
nagaland,166,8
odisha,37,-48
punjab,-127,161
rajasthan,-157,80
sikkim,112,85
tamil nadu,-72,-226
telangana,-67,-100
tripura,220,54
uttar pradesh,-31,71
uttarakhand,-58,141
west bengal,97,-5
